"logtype","title","query","startYear","endYear","citedBy","authorID","cluster","url","Timestamp"
"action","","prompt to graph generation","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=prompt+to+graph+generation&btnG=","2023-12-10T14:16:04.805Z"
"paper","Exploring prompt-based few-shot learning for grounded dialog generation","","","","","","","","2023-12-10T14:16:11.865Z"
"action","","prompt to graph generation","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=prompt+to+graph+generation&btnG=","2023-12-10T14:16:14.815Z"
"paper","Few-shot bot: Prompt-based learning for dialogue systems","","","","","","","","2023-12-10T14:16:20.726Z"
"action","","prompt to graph generation","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=prompt+to+graph+generation&btnG=","2023-12-10T14:16:23.365Z"
"action","","prompt to graph generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=prompt+to+graph+generation&hl=ko&as_sdt=0,5","2023-12-10T14:16:26.465Z"
"paper","Learning to transfer prompts for text generation","","","","","","","","2023-12-10T14:16:37.978Z"
"action","","prompt to graph generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=prompt+to+graph+generation&hl=ko&as_sdt=0,5","2023-12-10T14:16:40.331Z"
"paper","Learning to transfer prompts for text generation","","","","","","","","2023-12-10T14:16:40.894Z"
"action","","","","","5856182221416152353","","","https://scholar.google.co.kr/scholar?cites=5856182221416152353&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:16:41.700Z"
"paper","Attempt: Parameter-efficient multi-task tuning via attentional mixtures of soft prompts","","","","","","","","2023-12-10T14:16:51.038Z"
"action","","","","","9345696559280297687","","","https://scholar.google.co.kr/scholar?cites=9345696559280297687&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:16:51.821Z"
"action","","","","","5856182221416152353","","","https://scholar.google.co.kr/scholar?cites=5856182221416152353&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:16:54.740Z"
"action","","graph construction","","","5856182221416152353","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=2005&sciodt=0%2C5&cites=5856182221416152353&scipsc=&q=graph+construction&btnG=","2023-12-10T14:17:07.597Z"
"paper","Data-driven graph construction and graph learning: A review","","","","","","","","2023-12-10T14:17:12.814Z"
"action","","graph construction","","","5856182221416152353","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=2005&sciodt=0%2C5&cites=5856182221416152353&scipsc=&q=graph+construction&btnG=","2023-12-10T14:17:14.757Z"
"paper","Data-driven graph construction and graph learning: A review","","","","","","","","2023-12-10T14:17:15.529Z"
"action","","","","","7230362880510128041","","","https://scholar.google.co.kr/scholar?cites=7230362880510128041&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:17:16.331Z"
"paper","Multi-scale cluster-graph convolution network with multi-channel residual network for intelligent fault diagnosis","","","","","","","","2023-12-10T14:17:23.380Z"
"action","","","","","7230362880510128041","","","https://scholar.google.co.kr/scholar?cites=7230362880510128041&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:17:26.025Z"
"paper","Graph convolution network with similarity awareness and adaptive calibration for disease-induced deterioration prediction","","","","","","","","2023-12-10T14:17:27.332Z"
"action","","","","","7230362880510128041","","","https://scholar.google.co.kr/scholar?cites=7230362880510128041&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:17:30.333Z"
"action","","graph construction","","","5856182221416152353","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=2005&sciodt=0%2C5&cites=5856182221416152353&scipsc=&q=graph+construction&btnG=","2023-12-10T14:17:30.952Z"
"paper","A framework for call graph construction algorithms","","","","","","","","2023-12-10T14:17:33.761Z"
"action","","graph construction","","","5856182221416152353","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=2005&sciodt=0%2C5&cites=5856182221416152353&scipsc=&q=graph+construction&btnG=","2023-12-10T14:17:37.145Z"
"action","","graph construction","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=graph+construction&hl=ko&as_sdt=0,5","2023-12-10T14:17:39.354Z"
"paper","A decade review of two potential analysis altering variables in graph construction","","","","","","","","2023-12-10T14:17:43.880Z"
"action","","graph construction","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=graph+construction&hl=ko&as_sdt=0,5","2023-12-10T14:17:49.188Z"
"paper","Research of Chinese intangible cultural heritage knowledge graph construction and attribute value extraction with graph attention network","","","","","","","","2023-12-10T14:17:56.600Z"
"action","","graph construction","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=graph+construction&hl=ko&as_sdt=0,5","2023-12-10T14:18:00.064Z"
"paper","Research of Chinese intangible cultural heritage knowledge graph construction and attribute value extraction with graph attention network","","","","","","","","2023-12-10T14:18:01.313Z"
"action","","","","","16663225795066109593","","","https://scholar.google.co.kr/scholar?cites=16663225795066109593&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:18:01.777Z"
"action","","Knowledge graph algorithm","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=Knowledge+graph+algorithm&btnG=","2023-12-10T14:18:16.884Z"
"paper","An efficient knowledge-graph-based web service recommendation algorithm","","","","","","","","2023-12-10T14:18:20.978Z"
"action","","Knowledge graph algorithm","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=Knowledge+graph+algorithm&btnG=","2023-12-10T14:18:27.494Z"
"paper","A service recommendation algorithm based on knowledge graph and collaborative filtering","","","","","","","","2023-12-10T14:18:34.478Z"
"action","","Knowledge graph algorithm","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=Knowledge+graph+algorithm&btnG=","2023-12-10T14:18:39.027Z"
"paper","A service recommendation algorithm based on knowledge graph and collaborative filtering","","","","","","","","2023-12-10T14:18:39.978Z"
"action","","","","","18054094763407111605","","","https://scholar.google.co.kr/scholar?cites=18054094763407111605&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:18:40.750Z"
"paper","Similarity and Complementarity Attention-Based Graph Neural Networks for Mashup-Oriented Cloud API Recommendation","","","","","","","","2023-12-10T14:18:43.546Z"
"action","","","","","18054094763407111605","","","https://scholar.google.co.kr/scholar?cites=18054094763407111605&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T14:19:03.397Z"
