"logtype","title","query","startYear","endYear","citedBy","authorID","cluster","url","Timestamp"
"action","","qa generation","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=qa+generation&btnG=","2023-12-10T15:18:21.333Z"
"action","","qa generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=qa+generation&hl=ko&as_sdt=0,5","2023-12-10T15:18:25.199Z"
"paper","Clues before answers: Generation-enhanced multiple-choice QA","","","","","","","","2023-12-10T15:18:27.620Z"
"action","","qa generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=qa+generation&hl=ko&as_sdt=0,5","2023-12-10T15:18:29.698Z"
"paper","Tag: Boosting text-vqa via text-aware visual question-answer generation","","","","","","","","2023-12-10T15:18:31.557Z"
"action","","qa generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=qa+generation&hl=ko&as_sdt=0,5","2023-12-10T15:18:33.516Z"
"paper","Conditional generation with a question-answering blueprint","","","","","","","","2023-12-10T15:18:36.677Z"
"action","","qa generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=qa+generation&hl=ko&as_sdt=0,5","2023-12-10T15:18:38.611Z"
"paper","RealTime QA: What's the Answer Right Now?","","","","","","","","2023-12-10T15:18:39.516Z"
"action","","qa generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=qa+generation&hl=ko&as_sdt=0,5","2023-12-10T15:18:41.478Z"
"paper","Self-prompting large language models for open-domain qa","","","","","","","","2023-12-10T15:18:42.836Z"
"action","","qa generation","2022","","","","","https://scholar.google.co.kr/scholar?as_ylo=2022&q=qa+generation&hl=ko&as_sdt=0,5","2023-12-10T15:18:44.765Z"
"paper","Self-prompting large language models for open-domain qa","","","","","","","","2023-12-10T15:18:46.603Z"
"action","","","","","16091082704296319716","","","https://scholar.google.co.kr/scholar?cites=16091082704296319716&as_sdt=2005&sciodt=0,5&hl=ko","2023-12-10T15:18:47.405Z"
